"#","설계서 파일명","대상 경로","포함 내용"
"0","00_시스템_아키텍처_및_기술스택.md","/app/poc/mcps/","전체 시스템 구조, MariaDB/ES 아키텍처, 기술 스택, 네트워크, 보안"
"1","01_shared_공유모듈_설계서.md","/app/poc/mcps/shared/","database.py, queries.py, elasticsearch.py, permissions.py, logging_config.py, mcp_protocol.py, utils.py, cache.py"
"2","02_config_및_데이터_스키마_설계서.md","/app/poc/mcps/config/,
/app/poc/mcps/data/","JSON 설정 파일, MariaDB DDL, ES 인덱스 매핑, 마이그레이션"
"3","03_mcp_tools_개발가이드_설계서.md","/app/poc/mcps/mcp-tools/","Tool YAML 스키마, 개발 가이드, 예제, 테스트 방법"
"4","04_mcp_servers_전체_설계서.md","/app/poc/mcps/mcp-servers/core/","auth_server, search_server, document_server, version_server, audit_server (5개 통합)"
"5","05_mcp_host_백엔드_설계서.md","/app/poc/mcps/mcp-host/","core/, api/, main.py (전체 백엔드)"
"6","06_api_gateway_설계서.md","/app/poc/mcps/api-gateway/","main.py, middleware/, routers/ (전체 게이트웨이)"
"7","07_frontend_전체_설계서.md","/app/poc/mcps/frontend/","rxconfig.py, state/, pages/, components/, services/, app.py (전체 프론트)"
"8","08_scripts_운영스크립트_설계서.md","/app/poc/mcps/scripts/","setup.sh, start_all.sh, stop_all.sh, status.sh, restart.sh, package.sh, init_*.py (전체 스크립트)"
"9","09_mariadb_elasticsearch_설치가이드.md","-","MariaDB 10.11 설치, Elasticsearch 8.x 설치, 보안 설정, 튜닝"
"10","10_배포_및_운영_가이드.md","-","망분리 환경 배포, 패키징, 설치, 모니터링, 트러블슈팅"
"11","11_테스트_전략_및_개발환경.md","/app/poc/mcps/tests/","단위/통합/E2E 테스트, 개발 환경 설정, CI/CD"
